[INFO] | 2026-06-21 06:57:32 PM | analyzer.parity_wallet_bug_1 | Analysis started at: 2026-06-21 06:57:32 PM
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Callgraph generation started!
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Callgraph generation finished!
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Interprocedural CFG generation started!
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Interprocedural CFG generation finished!
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Storage dependency graph generation started!
[WARNING] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Issues with getting the high level call destination address
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Storage dependency graph generation finished!
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Value Range Analysis started
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Generating return summary for revoke
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Return summary generated for revoke
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Processed function revoke
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Generating return summary for changeOwner
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Return summary generated for changeOwner
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Processed function changeOwner
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Generating return summary for addOwner
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Return summary generated for addOwner
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Processed function addOwner
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Generating return summary for removeOwner
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Return summary generated for removeOwner
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Processed function removeOwner
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Generating return summary for changeRequirement
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Return summary generated for changeRequirement
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Processed function changeRequirement
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Generating return summary for isOwner
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | Return summary generated for isOwner
[INFO] | 2026-06-21 06:57:33 PM | analyzer.parity_wallet_bug_1 | State variable assignement do not exist
