[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Analysis started at: 2026-06-21 07:21:50 PM
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Callgraph generation started!
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Callgraph generation finished!
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Interprocedural CFG generation started!
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Interprocedural CFG generation finished!
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Storage dependency graph generation started!
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Storage dependency graph generation finished!
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Value Range Analysis started
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Generating return summary for setReward_TOD14
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Return summary generated for setReward_TOD14
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Range graph generated
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Processed function setReward_TOD14
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Generating return summary for claimReward_TOD14
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Return summary generated for claimReward_TOD14
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Range graph generated
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Processed function claimReward_TOD14
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Generating return summary for setReward_TOD30
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Return summary generated for setReward_TOD30
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Range graph generated
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Processed function setReward_TOD30
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Generating return summary for claimReward_TOD30
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Return summary generated for claimReward_TOD30
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Range graph generated
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Processed function claimReward_TOD30
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Generating return summary for setReward_TOD8
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Return summary generated for setReward_TOD8
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Range graph generated
[INFO] | 2026-06-21 07:21:50 PM | analyzer.buggy_39 | Processed function setReward_TOD8
