[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Analysis started at: 2026-06-21 07:09:44 PM
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Callgraph generation started!
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Callgraph generation finished!
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Interprocedural CFG generation started!
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Interprocedural CFG generation finished!
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Storage dependency graph generation started!
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Storage dependency graph generation finished!
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Value Range Analysis started
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Range graph generated
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function slitherConstructorConstantVariables
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for constructor
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for constructor
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Range graph generated
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function constructor
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for fallback
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for fallback
[INFO] | 2026-06-21 07:09:44 PM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
